Date,ProductGrp,Cntry,Site,Type,Rank,Brand,Model,Name,Price,Curr
2019-01-02,Mobile,CZ,Datart,TOP,1,Apple,iPhone X 64,Apple iPhone X 64 GB - Space Gray (MQAC2CN/A),23890.0,CZK
2019-01-02,Mobile,CZ,Datart,TOP,3,Apple,iPhone 7 32,Apple iPhone 7 32 GB - Black (MN8X2CN/A),12890.0,CZK
2019-01-02,Mobile,CZ,Datart,TOP,6,Apple,iPhone SE 32,Apple iPhone SE 32 GB - Space Grey (MP822CS/A),6997.0,CZK
2019-01-02,Mobile,CZ,Datart,TOP,8,Apple,iPhone 7 32,Apple iPhone 7 32 GB - Rose Gold (MN912CN/A),12890.0,CZK
2019-01-02,Mobile,CZ,Datart,TOP,10,Apple,iPhone 6s 32GB,Apple iPhone 6s 32GB - Rose Gold (MN122CN/A),8222.0,CZK
2019-01-02,Mobile,CZ,Datart,TOP,4,Apple,iPhone 6s 32GB-,Apple iPhone 6s 32GB- Space Gray (MN0W2CN/A),8222.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,3,Apple,Xr 128GB,iPhone Xr 128GB modr,23990.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,23,Apple,iPhone 7,Apple iPhone 7 128GB,13200.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,4,Apple,iPhone SE,Apple iPhone SE 32GB,6680.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,21,Apple,iPhone XR,Apple iPhone XR 64GB,19249.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,7,Apple,iPhone X,Apple iPhone X 64GB,21384.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,11,Apple,iPhone 6S,Apple iPhone 6S 32GB,8130.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,19,Apple,iPhone XS,Apple iPhone XS 64GB,25677.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,1,Apple,iPhone 7,Apple iPhone 7 32GB,11475.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,6,Apple,iPhone 8,Apple iPhone 8 64GB,15066.0,CZK
2019-01-02,Mobile,CZ,Mall,Tile,2,Honor,7C,"Honor 7C, Black",3290.0,CZK
2019-01-02,Mobile,CZ,Mall,Tile,3,Honor,7C,"Honor 7C, Blue",3290.0,CZK
2019-01-02,Mobile,CZ,Mall,Tile,4,Honor,10 64GB Phantom,"Honor 10, 64GB, Phantom Blue",8990.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,1,Honor,9 Lite Midnight,Honor 9 Lite Midnight Black,4499.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,7,Honor,7A 32GB,Honor 7A 32GB ern,2999.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,14,Honor,7A 32GB,Honor 7A 32GB Zlat,2999.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,15,Honor,7A 32GB,Honor 7A 32GB Modr,2999.0,CZK
2019-01-02,Mobile,CZ,Datart,TOP,2,Honor,7A 32 GB,Honor 7A 32 GB Dual SIM modr (51092RBM),3590.0,CZK
2019-01-02,Mobile,CZ,Datart,TOP,5,Honor,7A 32 GB,Honor 7A 32 GB Dual SIM ern (51092RBL),3590.0,CZK
2019-01-02,Mobile,CZ,Datart,TOP,9,Honor,8X 64 GB,Honor 8X 64 GB Dual SIM modr (51092XYE),6990.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,24,Honor,10 4GB/64GB Dual,Honor 10 4GB/64GB Dual SIM,7980.0,CZK
2019-01-02,Mobile,CZ,Datart,Tile,25,Honor,7S Dual SIM,Honor 7S Dual SIM ern (51092QPE),2590.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,3,Honor,8X 4GB/64GB Dual,Honor 8X 4GB/64GB Dual SIM,6180.0,CZK
